Name,P,W,L,Win%,+/-,Team
kayosei,6,4,2,66.67%,2,2
_sproink,5,3,2,60.00%,1,2
chase1995,6,4,2,66.67%,2,2
desmond17,6,4,2,66.67%,2,2
dosso_87,6,3,3,50.00%,0,2
dragon235,5,4,1,80.00%,3,2
hartz,6,1,5,16.67%,-4,2
hermanlhl,5,1,4,20.00%,-3,2
mirai39,6,5,1,83.33%,4,2
sharnel,6,3,3,50.00%,0,2
yaminookami,7,4,3,57.14%,1,2
megurineluka,6,5,1,83.33%,4,3
ashrakv,6,3,3,50.00%,0,3
bromyos,6,3,3,50.00%,0,3
chelinka,5,3,2,60.00%,1,3
dracoslayer122,6,2,4,33.33%,-2,3
emilyeva,6,3,3,50.00%,0,3
exu6,6,3,3,50.00%,0,3
jd_m,6,4,2,66.67%,2,3
lpokiuj,6,4,2,66.67%,2,3
lulu90981,5,2,3,40.00%,-1,3
Tokuro71#1710,6,2,4,33.33%,-2,3
toquill,5,4,1,80.00%,3,4
agumontamer,6,3,3,50.00%,0,4
alexander9104,6,2,4,33.33%,-2,4
andycaly,6,1,5,16.67%,-4,4
azuredo,6,3,3,50.00%,0,4
captainravioli1,6,5,1,83.33%,4,4
fabioakadiobrando,6,2,4,33.33%,-2,4
judgewill,6,4,2,66.67%,2,4
lo_ak,6,4,2,66.67%,2,4
spectald,6,2,4,33.33%,-2,4
tacopigg,5,4,1,80.00%,3,4
onetrueemiya,8,8,0,100.00%,8,5
.ironstark,1,1,0,100.00%,1,5
_lesgrossman,6,4,2,66.67%,2,5
bran_,7,5,2,71.43%,3,5
chuulet,7,1,6,14.29%,-5,5
dubudeccer,5,2,3,40.00%,-1,5
isylphia,7,4,3,57.14%,1,5
maybealie,8,5,3,62.50%,2,5
nyaaaaaaaa,3,0,3,0.00%,-3,5
powerofloli,3,2,1,66.67%,1,5
zystral,7,1,6,14.29%,-5,5
weissandchill,6,4,2,66.67%,2,9
arracht,6,1,5,16.67%,-4,9
daschmied,6,5,1,83.33%,4,9
earthweebandfire,6,3,3,50.00%,0,9
gernoth,6,4,2,66.67%,2,9
lord_voltaire,5,1,4,20.00%,-3,9
maccann,5,2,3,40.00%,-1,9
nephira,6,0,6,0.00%,-6,9
scottishroebuck,6,2,4,33.33%,-2,9
slowqueen,6,3,3,50.00%,0,9
yohceezax,6,0,6,0.00%,-6,9
falkyun,7,3,4,42.86%,-1,1
mintywench,4,3,1,75.00%,2,1
doraemonpoi,3,2,1,66.67%,1,1
hyper1001,6,4,2,66.67%,2,1
justtato,6,3,3,50.00%,0,1
madoka_hk,6,3,3,50.00%,0,1
Mikeyy#8717,6,3,3,50.00%,0,1
omegaknight08,6,4,2,66.67%,2,1
rak6472,7,6,1,85.71%,5,1
shadownja,7,3,4,42.86%,-1,1
twc0000,6,3,3,50.00%,0,1
gothmomymous,7,3,4,42.86%,-1,8
ahrithedoge,7,5,2,71.43%,3,8
AlexGQ#4272,6,1,5,16.67%,-4,8
bamcospy,6,2,4,33.33%,-2,8
darkgamer39,5,2,3,40.00%,-1,8
dynamitekitty,5,4,1,80.00%,3,8
jazzy_reporter,6,2,4,33.33%,-2,8
manny916,5,0,5,0.00%,-5,8
monaberce,5,2,3,40.00%,-1,8
stacysmomlinseym,6,2,4,33.33%,-2,8
steveyouth112,6,4,2,66.67%,2,8
mocascorner,8,3,5,37.50%,-2,6
azu44,5,2,3,40.00%,-1,6
bigpapialex,2,1,1,50.00%,0,6
bluehairrem,8,5,3,62.50%,2,6
celednb,6,4,2,66.67%,2,6
charitard,5,1,4,20.00%,-3,6
cjacuzzi,4,0,4,0.00%,-4,6
huskeyninja,3,0,3,0.00%,-3,6
kisamatt,7,5,2,71.43%,3,6
ayumuseiki,6,3,3,50.00%,0,6
naituolf,6,5,1,83.33%,4,6
notscripted,6,5,1,83.33%,4,7
.muon,6,2,4,33.33%,-2,7
_gerrit,5,3,2,60.00%,1,7
agente00mati,6,2,4,33.33%,-2,7
asterisk_x,6,3,3,50.00%,0,7
elyisus,7,2,5,28.57%,-3,7
floytesangen,6,4,2,66.67%,2,7
kabaine,7,4,3,57.14%,1,7
ryn99,4,1,3,25.00%,-2,7
ryoo,7,4,3,57.14%,1,7
totoxri,4,1,3,25.00%,-2,7
ikaorii,2,0,2,0.00%,-2,5
itzalex_t,4,2,2,50.00%,0,6